id,name,popularity,duration_ms,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
16XHWtcP0lA2OR2sWAlhA5,My Fate Is In Your Hands,3,160693,['Fats Waller'],['0DYWCXTkNqGFZIf67SrWEa'],1926,0.628,0.208,5.0,-18.304,1.0,0.0558,0.98,0.938,0.14,0.44,134.126,4
17qVDp8STcC6UajNQOeMgH,Kapitel 82 - Der Page und die Herzogin,1,133369,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.717,0.158,6.0,-21.553,1.0,0.945,0.468,0.0,0.34,0.376,129.074,3
18701sWluSnxN3Iu9HEX78,Chacun Son Truc,0,141733,['Maurice Chevalier'],['3QXjI80udwDSEfxK5BjUXc'],1926,0.712,0.505,3.0,-12.636,1.0,0.0959,0.98,0.0,0.187,0.868,68.397,4
18iy13trBcZZrzy6H6qZdA,Kapitel 33 - Der Page und die Herzogin,2,120203,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.717,0.187,0.0,-22.786,1.0,0.937,0.448,0.0,0.401,0.316,121.819,5
19Bnd2dTRBO99atTu1rnMi,Kapitel 443 - Der Page und die Herzogin,1,102101,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.628,0.191,1.0,-21.723,1.0,0.957,0.442,0.0,0.153,0.101,84.247,3
19t93vrvSuuITyuRGUPj5e,If I Ever Cry - You'll Never Know,0,158027,['Ted Weems & His Orchestra'],['7nQr572o0bqpK1LoX0Whan'],01-07-1926,0.492,0.263,5.0,-11.832,1.0,0.0536,0.988,0.872,0.186,0.759,181.553,4
1AOWgmnMf3chLgt9ueFWrJ,Porque Tu Me Diste un Beso - Remasterizado,0,136733,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],15-07-1926,0.63,0.243,9.0,-13.218,0.0,0.0482,0.996,0.923,0.13,0.829,117.424,4
1Agqe9PazMOklwjNO7Usud,Porter Stomp,2,192693,['Jelly Roll Morton'],['4XepUkisa56DUeA3gbjDQD'],1926,0.599,0.713,3.0,-6.273,1.0,0.0594,0.974,0.895,0.17,0.821,127.618,4
1AxcADdFgRgIGw0BaLfs4L,Kapitel 296 - Der Page und die Herzogin,1,136164,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.735,0.138,9.0,-22.394,0.0,0.951,0.444,0.0,0.346,0.319,73.847,3
1B8nCOmNqpat0pvqsOo0UZ,Kapitel 368 - Der Page und die Herzogin,1,133813,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.72,0.177,6.0,-20.643,1.0,0.933,0.544,0.0,0.238,0.303,112.024,4
1BIJpuYhsQMuM2g49YPofl,'Tain't What You Do (It's The Way That You Do It),3,169493,['Fats Waller'],['0DYWCXTkNqGFZIf67SrWEa'],1926,0.765,0.202,8.0,-19.525,1.0,0.0875,0.843,0.00298,0.11,0.808,77.072,4
1Byu7lacJilhtOl2TAMzcn,Jazz Lips,3,179867,['Louis Armstrong & His Hot Five'],['0t4VVR2T9Sb0z3NdDdEU6S'],1926,0.809,0.349,5.0,-11.797,1.0,0.103,0.965,0.655,0.162,0.958,107.197,4
1D5pOYrK8IbkHcqKpOprhm,La Querencia - Remasterizado,0,137000,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],14-05-1926,0.314,0.105,3.0,-27.513,0.0,0.0387,0.996,0.976,0.0992,0.281,100.592,4
1DaYmi9fbbA6tNsgYdDxfZ,Kapitel 99 - Der Page und die Herzogin,1,136086,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.65,0.151,3.0,-22.89,0.0,0.954,0.404,0.0,0.361,0.284,83.335,4
1DlV8kGMUDAgNq68kcWawy,Criollo Viejo - Remasterizado,0,174507,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],15-07-1926,0.325,0.264,1.0,-13.231,1.0,0.0624,0.994,0.99,0.321,0.582,65.391,4
1EIQMOcS6gDhqN35bpaulo,Savannah - The Georgianna Blues,0,179027,['Ted Weems & His Orchestra'],['7nQr572o0bqpK1LoX0Whan'],01-07-1926,0.59,0.195,5.0,-11.016,1.0,0.149,0.995,0.193,0.0967,0.546,90.154,4
1GbAuaJu95r6JDjvxO52sa,Kapitel 246 - Der Page und die Herzogin,1,125323,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.622,0.178,8.0,-22.708,1.0,0.948,0.451,0.0,0.295,0.367,75.538,4
1GqaJxlVPJ1837KDuRmFK0,Happiness - Remasterizado,0,189707,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],15-07-1926,0.28,0.181,3.0,-18.475,1.0,0.0494,0.996,0.827,0.183,0.348,69.741,3
1HgRGRIlXSDoCFGLjB20Pn,Keepin' Out of Mischief Now,3,192333,['Fats Waller'],['0DYWCXTkNqGFZIf67SrWEa'],1926,0.649,0.0709,0.0,-20.096,1.0,0.0478,0.991,0.863,0.139,0.201,111.303,4
1IHL3tEKo6s6ioaP4TLZko,A Las Dos de la Mañana - Remasterizado,0,186240,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],15-07-1926,0.544,0.159,2.0,-12.001,1.0,0.0752,0.996,0.941,0.259,0.418,121.176,4
1IHM1j84hSNc00dKp4rOZy,Smoke House Blues,2,191560,['Jelly Roll Morton'],['4XepUkisa56DUeA3gbjDQD'],1926,0.642,0.718,8.0,-5.48,1.0,0.0448,0.943,0.731,0.0869,0.868,123.522,4
1ILADdjKoEnTXOw6OcoYNw,Caminito - Remasterizado,0,153640,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],15-07-1926,0.571,0.139,5.0,-17.326,1.0,0.0636,0.996,0.933,0.101,0.407,119.116,4
1IigeeOT6ud2Lk8HZGZ5sm,Kapitel 323 - Der Page und die Herzogin,1,110643,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.629,0.167,9.0,-23.313,0.0,0.955,0.462,0.0,0.223,0.472,172.019,5
